,id,timestamp,tweet_text,username,followers_count,location
2689,1.57575E+18,2022-09-30 07:27:59+00:00,"Waduh, Pemerintah Belum Tambah Kuota BBM Subsidi, Padahal Stok Pertalite Habis Oktober Ini   https://t.co/wgNGlI7dj5",motorplusweekly,61579,"Jakarta, Indonesia"
2690,1.57575E+18,2022-09-30 07:27:40+00:00,"Untuk menanggulangi kenaikan harga BBM, pemerintah memberikan BLT BBM, berapa banyak?silahkan disimak yah https://t.co/0AhYHjFfNu",chiltry_hth,260,On my way...
2691,1.57575E+18,2022-09-30 07:25:12+00:00,"BBM Naik, Pemerintah Berikan Beragam Bansos https://t.co/QxUnrvBKM6  #kinerjaJokowiBerhasil #SubsidiHarusTepatSasaran #DukungKebijakanBBM #penyesuaianBbmPenting #BbmAmanAPBNKuat #EkonomiKuat #SukseskanKebijakanPemerintah",uluntwit,100,
2692,1.57575E+18,2022-09-30 07:22:13+00:00,"alesan pemerintah alihin subsidinya ke sektor yg lebih penting dan memang tepat sasaran sih ya gimana lagi, tapikan dengan naiknya harga maka cost distribusi naik juga, semua ikutan naik. Semua kena imbas. Jadi ya keknya mending subsidinya ke bbm lg aja https://t.co/Gg3P0MAtwn",elektroalone,228,Indonesia
2693,1.57575E+18,2022-09-30 07:18:35+00:00,Sepakat dengan Buruh meminta agar pemerintah menurunkan harga BBM  #demokratbersamarakyat #demokratkabupatentangerang @viajayabaya @pdemokrat @dpddemokratbanten @ Tangerang https://t.co/pKXY1YIOqI,pd_kabtangerang,508,"Tangerang, Banten"
2694,1.57575E+18,2022-09-30 07:12:13+00:00,"Sebenarnya rencana kebijakan pemerintah untuk melakukan pengaturan subsidi tepat sasaran sih udh bener. Tapi tolong dipastikan lagi kalo memang saat program ini berjalan, bener² BBM subsidi tepat sasaran kepada masyarakat yg memang berhak mendapatkan.",samamasamas,19551,Jakarta Capital Region
2695,1.57574E+18,2022-09-30 07:06:52+00:00,"#TuandanPuan, Tenaga Ahli Utama KSP Edy Priyono mengatakan, kerja keras pemerintah dalam pengendalian inflasi baik di tingkat pusat maupun daerah, telah berhasil menjaga stabilitas harga pangan, pasca kenaikan harga BBM.  #Pangan #KSP https://t.co/9Ig0W8rMTs",KSPgoid,295880,Republik Indonesia
2696,1.57574E+18,2022-09-30 07:06:07+00:00,Penyesuaian harga BBM merupakan upaya pemerintah supaya penyaluran subsidi lebih adil dan tepat sasaran. #TrenPositifEkonomiRI #EkonomiPulih  Leslar | Ayu Dewi | Chandra Liow | Selingkuh | Reyhan | KDRT | MinyakRasaAir | September S https://t.co/QxZJYa1Ken,Negerijaya1,1103,
2697,1.57574E+18,2022-09-30 07:05:39+00:00,Pemerintah dinilai mampu menjaga ekonomi di tengah penyesuaian harga BBM. #TrenPositifEkonomiRI #EkonomiPulih @jokowi   Leslar | Ayu Dewi | Chandra Liow | Selingkuh | Reyhan | KDRT | MinyakRasaAir | September S https://t.co/CYRWG4eE0h,komisarispolit1,958,"DKI Jakarta, Indonesia"
2698,1.57574E+18,2022-09-30 06:58:57+00:00,Pemerintah Mampu Jaga Ekonomi Di Tengah Penyesuaian Harga BBM .  Kalimantan Tengah .  #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran https://t.co/mRdFHVfbJ8,warnaungu11,0,
